timestamp,Odessa Temperature [2 m elevation corrected],Odessa Precipitation Total,Odessa Wind Speed [10 m],Odessa Wind Direction [10 m]
20200611T0000,21.885359,0.0,4.336678,227.48956
20200611T0100,21.315357,0.0,2.9784427,243.43495
20200611T0200,21.045359,0.0,1.6848617,288.43494
20200611T0300,20.865358,0.0,2.4560864,12.528793
20200611T0400,20.825357,0.0,4.5366282,40.236343
20200611T0500,20.655357,0.0,5.6637416,48.81407
20200611T0600,20.335358,0.0,6.0397053,48.576324
20200611T0700,21.365358,0.0,4.897704,44.999985
20200611T0800,24.045359,0.0,6.354631,56.976128
20200611T0900,26.035358,0.0,7.920641,70.346176
20200611T1000,27.225357,0.0,7.766828,84.09385
20200611T1100,28.185358,0.0,6.5903726,104.03624
20200611T1200,29.035358,0.0,5.9865956,122.27564
20200611T1300,29.705359,0.0,5.842608,136.84761
20200611T1400,30.065357,0.0,7.53493,135.0
20200611T1500,28.535358,0.0,8.360887,149.34933
20200611T1600,28.425358,0.0,8.955161,157.24902
20200611T1700,27.985357,0.0,9.770018,168.99646
20200611T1800,27.415358,0.0,10.123199,180.0
20200611T1900,26.395357,0.0,10.084568,192.20047
20200611T2000,25.035358,0.0,8.762899,199.53665
20200611T2100,24.065357,0.2,6.0865254,203.1986
20200611T2200,23.555359,0.5,4.598777,190.00798
20200611T2300,22.785358,0.3,4.652476,166.75948
20200612T0000,21.875359,0.2,4.4097047,154.98311
20200612T0100,21.245358,0.1,4.72062,163.61046
20200612T0200,20.465359,0.0,4.212154,161.56505
20200612T0300,19.785358,0.0,3.5039446,171.25385
20200612T0400,20.455359,0.0,6.595754,43.36342
20200612T0500,19.945358,0.0,6.5795946,68.62937
20200612T0600,19.695358,0.0,5.8668513,87.39744
20200612T0700,20.845358,0.0,6.4046907,106.92751
20200612T0800,22.065357,0.0,7.463956,124.82449
20200612T0900,23.035358,0.0,9.092791,148.17255
20200612T1000,23.895357,0.0,9.77365,162.55281
20200612T1100,24.845358,0.0,9.770018,168.99646
20200612T1200,25.835358,0.0,9.722688,170.53767
20200612T1300,26.825357,0.0,9.682458,172.09283
20200612T1400,27.605358,0.0,10.511835,171.25385
20200612T1500,27.745358,0.0,11.504656,174.68546
20200612T1600,27.265358,0.0,14.770192,172.74681
20200612T1700,26.755358,0.2,14.939793,183.06648
20200612T1800,26.645357,0.0,12.831524,184.76364
20200612T1900,25.825357,0.2,12.787201,180.0
20200612T2000,24.315357,0.0,13.852799,180.0
20200612T2100,22.845358,0.2,14.425013,184.23639
20200612T2200,22.055359,1.2,13.977751,187.66681
20200612T2300,21.295359,1.5,11.987999,180.0
20200613T0000,20.635359,1.2,9.885558,165.96376
20200613T0100,20.135359,0.2,4.7952,180.0
20200613T0200,19.935358,0.0,2.8318708,228.81409
20200613T0300,19.705359,0.0,3.7105224,201.0375
20200613T0400,19.435358,0.0,4.802594,123.69006
20200613T0500,19.125359,0.0,6.4046907,106.92751
